Player,Nation,Pos,Squad,Born,Seasons
Milad Mohammadi,IRN,DF,AEK Athens,1993,"{'2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Jaden Montnor,SUR,"FW,MF",Aris Limassol FC,2002,{'2023-2024': ['Europa League']}
Yerson Mosquera,COL,DF,Villarreal,2001,"{'2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['Premier League']}"
Alex Moucketou,GAB,DF,Aris Limassol FC,2000,{'2023-2024': ['Europa League']}
Harold Moukoudi,CMR,DF,AEK Athens,1997,{'2023-2024': ['Europa League']}
Mateusz Musialowski,POL,MF,Liverpool,2003,{'2023-2024': ['Europa League']}
Florent Muslija,KVX,MF,Freiburg,1998,"{'2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Bilal Nadir,FRA,"MF,DF",Marseille,2003,"{'2023-2024': ['Europa League', 'Ligue 1']}"
Mahamadou Nagida,CMR,DF,Rennes,2005,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Goni Naor,ISR,"MF,DF",Maccabi Haifa,1999,{'2023-2024': ['Europa League']}
Iliman Ndiaye,SEN,"FW,MF",Marseille,2000,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Premier League'], 'WC 2022': ['WC 2022']}"
Cher Ndour,ITA,MF,Braga,2004,"{'2023-2024': ['Primeira Liga', 'Europa League', 'Ligue 1'], '2024-2025': ['Europa League']}"
Rafael Nel,POR,FW,Sporting CP,2005,{'2023-2024': ['Europa League']}
Jerome Ngom Mbekeli,CMR,"FW,MF",Sheriff Tiraspol,1998,"{'2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Itamar Nitzan,ISR,GK,Maccabi Haifa,1987,{'2023-2024': ['Europa League']}
Kristian Nökkvi Hlynsson,ISL,"MF,FW",Ajax,2004,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Bartosz Nowak,POL,"MF,FW",RKS Raków,1993,{'2023-2024': ['Europa League']}
Gustav Nyheim,NOR,MF,Molde,2006,{'2023-2024': ['Europa League']}
Boluwatife Ogungbayi,NGA,MF,Slavia Prague,2004,{'2023-2024': ['Europa League']}
Gaël Ondoua,CMR,MF,Servette FC,1995,"{'2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Francisco Ortega,ARG,DF,Olympiacos,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Aiham Ousou,SYR,DF,Häcken,2000,"{'2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['Belgian Pro League']}"
Riccardo Pagano,ITA,"MF,FW",Roma,2004,"{'2023-2024': ['Europa League', 'Serie A']}"
Vinícius Paiva,BRA,MF,Sheriff Tiraspol,2001,{'2023-2024': ['Europa League']}
Sebastián Palacios,ARG,"FW,MF",Panathinaikos,1992,{'2023-2024': ['Europa League']}
Marco Palestra,ITA,MF,Atalanta,2005,"{'2023-2024': ['Europa League'], '2024-2025': ['Serie A']}"
Filip Panák,CZE,DF,Sparta Prague,1995,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Miloš Pantović,SRB,"FW,MF",TSC Bačka Top,2002,{'2023-2024': ['Europa League']}
Giannis Papanikolaou,GRE,MF,RKS Raków,1998,{'2023-2024': ['Europa League']}
John Paul Dembe,UGA,FW,Häcken,2005,{'2023-2024': ['Europa League']}
João Paulo Fernandes,CPV,"MF,FW",Sheriff Tiraspol,1998,{'2023-2024': ['Europa League']}
David Pavelka,CZE,MF,Sparta Prague,1991,{'2023-2024': ['Europa League']}
Faris Pemi Moumbagna,CMR,"FW,MF",Marseille,2000,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Rubén Pérez,ESP,MF,Panathinaikos,1989,{'2023-2024': ['Europa League']}
Jakub Pesek,CZE,"MF,FW",Sparta Prague,1993,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Oliver Petersen,NOR,GK,Molde,2001,{'2023-2024': ['Europa League']}
Nemanja Petrović,SRB,DF,TSC Bačka Top,1992,{'2023-2024': ['Europa League']}
Fabian Piasecki,POL,FW,RKS Raków,1995,{'2023-2024': ['Europa League']}
Samuel Pikolon,CZE,MF,Slavia Prague,2006,{'2023-2024': ['Europa League']}
Orbelín Pineda,MEX,"MF,DF",AEK Athens,1996,"{'2023-2024': ['Europa League'], 'CopaAmerica2024': ['CopaAmerica2024'], 'WC 2022': ['WC 2022']}"
Rodolfo Pizarro,MEX,"FW,MF",AEK Athens,1994,{'2023-2024': ['Europa League']}
Srđan Plavšić,SRB,"MF,DF",RKS Raków,1995,{'2023-2024': ['Europa League']}
Lukáš Provod,CZE,"MF,FW",Slavia Prague,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Gustavo Puerta,COL,MF,Leverkusen,2003,"{'2023-2024': ['Europa League', 'Bundesliga']}"
Jarell Quansah,ENG,DF,Liverpool,2003,"{'2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League', 'Champions League']}"
Quini,ESP,DF,Olympiacos,1989,{'2023-2024': ['Europa League']}
Bogdan Racovitan,ROU,DF,RKS Raków,2000,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Milan Radin,SRB,MF,TSC Bačka Top,1991,{'2023-2024': ['Europa League']}
Marko Rakonjac,MNE,FW,TSC Bačka Top,2000,{'2023-2024': ['Europa League']}
Nicolas Raskin,BEL,MF,Rangers,2001,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Givairo Read,NED,DF,Feyenoord,2006,{'2023-2024': ['Europa League']}
Lior Refaelov,ISR,"FW,MF",Maccabi Haifa,1986,{'2023-2024': ['Europa League']}
René Renner,AUT,"MF,DF",LASK,1993,{'2023-2024': ['Europa League']}
Guillaume Restes,FRA,GK,Toulouse,2005,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Ricardinho,BRA,"MF,FW",Sheriff Tiraspol,1989,{'2023-2024': ['Europa League']}
Omar Richards,ENG,MF,Olympiacos,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Primeira Liga']}"
Fabian Rieder,SUI,"MF,FW",Rennes,2002,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Jean Carlos Silva Rocha,BRA,"MF,DF",RKS Raków,1996,{'2023-2024': ['Europa League']}
Ronny Rodelin,FRA,DF,Servette FC,1989,{'2023-2024': ['Europa League']}
Rodinei,BRA,DF,Olympiacos,1992,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Kemar Roofe,JAM,"FW,MF",Rangers,1993,{'2023-2024': ['Europa League']}
Llazaros Rota,GRE,DF,AEK Athens,1997,{'2023-2024': ['Europa League']}
Steve Rouiller,SUI,DF,Servette FC,1990,{'2023-2024': ['Europa League']}
Milan Rundić,SRB,DF,RKS Raków,1992,{'2023-2024': ['Europa League']}
Mikkel Rygaard Jensen,DEN,MF,Häcken,1990,{'2023-2024': ['Europa League']}
Matěj Ryneš,CZE,"MF,DF",Sparta Prague,2001,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Dia Saba,ISR,MF,Maccabi Haifa,1992,{'2023-2024': ['Europa League']}
Lukáš Sadílek,CZE,MF,Sparta Prague,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Anass Salah-Eddine,NED,FW,Ajax,2002,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Simon Sandberg,SWE,DF,Häcken,1994,{'2023-2024': ['Europa League']}
Ismaila Sarr,SEN,"FW,MF",Marseille,1998,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Premier League'], 'WC 2022': ['WC 2022']}"
Calum Scanlon,ENG,DF,Liverpool,2005,{'2023-2024': ['Europa League']}
Bart Schenkeveld,NED,DF,Panathinaikos,1991,{'2023-2024': ['Europa League']}
Kjell Scherpen,NED,GK,Sturm Graz,2000,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Ivan Schranz,SVK,"FW,MF",Slavia Prague,1993,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Václav Sejk,CZE,"MF,FW",Sparta Prague,2002,{'2023-2024': ['Europa League']}
Javier Serrano,ESP,MF,Sturm Graz,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Petr Ševčík,CZE,MF,Slavia Prague,1994,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Yoan Severin,FRA,DF,Servette FC,1997,{'2023-2024': ['Europa League']}
Hamza Shibli,ISR,FW,Maccabi Haifa,2004,{'2023-2024': ['Europa League']}
Erik Shuranov,GER,"FW,MF",Maccabi Haifa,2002,{'2023-2024': ['Europa League']}
Djibril Sidibé,FRA,DF,AEK Athens,1992,"{'2023-2024': ['Europa League'], '2024-2025': ['Ligue 1']}"
Matheus Silva,BRA,"DF,FW",Qarabağ,1997,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Lorenco Šimić,CRO,DF,Maccabi Haifa,1996,{'2023-2024': ['Europa League']}
Nikola Simić,SRB,GK,TSC Bačka Top,1996,{'2023-2024': ['Europa League']}
Emran Soglo,ENG,DF,Marseille,2005,"{'2023-2024': ['Europa League', 'Ligue 1']}"
Markus Solbakken,NOR,MF,Sparta Prague,2000,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Deian Sorescu,ROU,"MF,DF",RKS Raków,1997,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Bence Sós,HUN,"DF,FW",TSC Bačka Top,1994,{'2023-2024': ['Europa League']}
John Souttar,SCO,DF,Rangers,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Matija Špoljarić,CYP,"DF,MF",Aris Limassol FC,1997,{'2023-2024': ['Europa League']}
Andraž Šporar,SVN,"FW,DF",Panathinaikos,1994,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Petar Stanic,SRB,MF,TSC Bačka Top,2001,{'2023-2024': ['Europa League']}
Cican Stankovic,AUT,GK,AEK Athens,1992,{'2023-2024': ['Europa League']}
Mariusz Stępiński,POL,"FW,MF",Aris Limassol FC,1995,{'2023-2024': ['Europa League']}
Dujon Sterling,ENG,"FW,MF",Rangers,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Miroslav Stevanović,BIH,"MF,FW",Servette FC,1990,{'2023-2024': ['Europa League']}
Nemanja Stojić,SRB,DF,TSC Bačka Top,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Filip Stojković,MNE,"MF,DF",LASK,1993,{'2023-2024': ['Europa League']}
Karol Struski,POL,MF,Aris Limassol FC,2001,{'2023-2024': ['Europa League']}
Július Szöke,SVK,MF,Aris Limassol FC,1995,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Damian Szymański,POL,"MF,DF",AEK Athens,1995,"{'2023-2024': ['Europa League'], 'WC 2022': ['WC 2022']}"
Asger Sørensen,DEN,DF,Sparta Prague,1996,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Amine Talal,MAR,MF,Sheriff Tiraspol,1996,{'2023-2024': ['Europa League']}
Maksym Talovierov,UKR,DF,LASK,2000,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Bryan Teixeira,CPV,"FW,MF",Sturm Graz,2000,{'2023-2024': ['Europa League']}
Nathan Tella,NGA,"DF,FW",Leverkusen,1999,"{'2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga', 'Champions League']}"
Muhamed Tijani,NGA,FW,Slavia Prague,2000,{'2023-2024': ['Europa League']}
Michal Tomič,SVK,"DF,MF",Slavia Prague,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Tomas Totland,NOR,DF,Häcken,1998,{'2023-2024': ['Europa League']}
Hussayn Touati,FRA,"FW,MF",Servette FC,2001,{'2023-2024': ['Europa League']}
Cristian Tovar,COL,DF,Sheriff Tiraspol,1998,{'2023-2024': ['Europa League']}
Keigo Tsunemoto,JPN,"DF,FW",Servette FC,1998,{'2023-2024': ['Europa League']}
Indrit Tuci,ALB,FW,Sparta Prague,2000,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Fran Tudor,CRO,"DF,MF",RKS Raków,1995,{'2023-2024': ['Europa League']}
Slobodan Urošević,SRB,DF,Aris Limassol FC,1994,{'2023-2024': ['Europa League']}
Moses Usor,NGA,FW,LASK,2002,{'2023-2024': ['Europa League']}
Georgios Vagiannidis,GRE,DF,Panathinaikos,2001,{'2023-2024': ['Europa League']}
Amourrichio Van Axel Dongen,NED,FW,Ajax,2004,{'2023-2024': ['Europa League']}
Vaná,BRA,GK,Aris Limassol FC,1991,{'2023-2024': ['Europa League']}
Berkay Vardar,AZE,MF,Sheriff Tiraspol,2003,{'2023-2024': ['Europa League']}
Bart Verbruggen,NED,GK,Brighton,2002,"{'2023-2024': ['Premier League', 'Europa League'], '2024-2025': ['Premier League'], 'EURO 2024': ['EURO 2024']}"
Domagoj Vida,CRO,DF,AEK Athens,1989,{'2023-2024': ['Europa League']}
Peter Vindahl Jensen,DEN,GK,Sparta Prague,1998,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Martin Vitík,CZE,DF,Sparta Prague,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Jovan Vlalukin,SRB,"DF,MF",TSC Bačka Top,1999,{'2023-2024': ['Europa League']}
Tomáš Vlček,CZE,DF,Slavia Prague,2001,{'2023-2024': ['Europa League']}
Silvano Vos,NED,MF,Ajax,2005,{'2023-2024': ['Europa League']}
Nicolas Vouilloz,SUI,DF,Servette FC,2001,{'2023-2024': ['Europa League']}
Miloš Vulić,SRB,MF,TSC Bačka Top,1996,{'2023-2024': ['Europa League']}
Patrik Vydra,CZE,"MF,DF",Sparta Prague,2003,{'2023-2024': ['Europa League']}
Conrad Wallem,NOR,"MF,FW",Slavia Prague,2000,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Tomáš Wiesner,CZE,"DF,MF",Sparta Prague,1997,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Magnus Wolff Eikrem,NOR,FW,Molde,1990,{'2023-2024': ['Europa League']}
Szymon Włodarczyk,POL,FW,Sturm Graz,2003,{'2023-2024': ['Europa League']}
Redon Xhixha,ALB,FW,Qarabağ,1998,{'2023-2024': ['Europa League']}
Steeve Yago,BFA,DF,Aris Limassol FC,1992,{'2023-2024': ['Europa League']}
John Yeboah,ECU,"FW,MF",RKS Raków,2000,"{'2023-2024': ['Europa League'], '2024-2025': ['Serie A'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Bertuğ Yıldırım,TUR,FW,Rennes,2002,"{'2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['La Liga']}"
Ali Youssef,TUN,FW,Häcken,2000,{'2023-2024': ['Europa League']}
Christos Zafeiris,GRE,MF,Slavia Prague,2003,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Jaroslav Zelený,CZE,DF,Sparta Prague,1992,"{'2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Philipp Ziereis,GER,DF,LASK,1993,{'2023-2024': ['Europa League']}
Ondřej Zmrzlý,CZE,"DF,FW",Slavia Prague,1999,"{'2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Steven Zuber,SUI,"FW,MF",AEK Athens,1991,"{'2023-2024': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Robert Žulj,AUT,"FW,MF",LASK,1992,{'2023-2024': ['Europa League']}
Łukasz Zwoliński,POL,FW,RKS Raków,1993,{'2023-2024': ['Europa League']}
Niklas Ødegård,NOR,"MF,FW",Molde,2004,{'2023-2024': ['Europa League']}
Casper Øyvann,NOR,DF,Molde,1999,{'2023-2024': ['Europa League']}
Ifet Đakovac,SRB,"MF,FW",TSC Bačka Top,1997,{'2023-2024': ['Europa League']}
Mateja Đorđević,SRB,DF,TSC Bačka Top,2003,{'2023-2024': ['Europa League']}
Rodrigo Abascal,URU,DF,Boavista,1994,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Dennis Adeniran,ENG,MF,Portimonense,1999,{'2023-2024': ['Primeira Liga']}
Martin Agirregabiria,ESP,DF,Famalicão,1996,{'2023-2024': ['Primeira Liga']}
Salvador Agra,POR,"FW,DF",Boavista,1991,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Matheus Aiás,BRA,"FW,MF",Moreirense,1996,{'2023-2024': ['Primeira Liga']}
Alan,BRA,MF,Moreirense,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Rafael Alcobia,POR,DF,Portimonense,2003,{'2023-2024': ['Primeira Liga']}
Alemão,BRA,DF,Portimonense,2002,{'2023-2024': ['Primeira Liga']}
Ali Alipour,IRN,FW,Gil Vicente FC,1995,{'2023-2024': ['Primeira Liga']}
Almeida,BRA,DF,Estrela,2000,{'2023-2024': ['Primeira Liga']}
Pedro Álvaro,POR,DF,Estoril,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Pedro Amador,POR,DF,Moreirense,1998,{'2023-2024': ['Primeira Liga']}
Artur Jorge Marques Amorim,POR,DF,Farense,1994,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
André André,POR,MF,Vitória,1989,{'2023-2024': ['Primeira Liga']}
Andrew,BRA,GK,Gil Vicente FC,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Jeremy Antonisse,CUW,FW,Moreirense,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Pedro Aparício,POR,"MF,FW",Moreirense,1995,{'2023-2024': ['Primeira Liga']}
Óscar Aranda,ESP,"FW,MF",Famalicão,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Tiago Araújo,POR,"DF,MF",Estoril,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Belgian Pro League']}"
Gustavo Assuncao,POR,MF,Famalicão,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Chidozie Awaziem,NGA,DF,Boavista,1997,{'2023-2024': ['Primeira Liga']}
Abdul Awudu,GHA,"FW,MF",Vizela,2001,{'2023-2024': ['Primeira Liga']}
Amadou Ba-Sy,FRA,"FW,MF",Vizela,2001,{'2023-2024': ['Primeira Liga']}
Elves Baldé,GNB,"FW,MF",Farense,1999,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Daniel Bandeira,POR,MF,Vitória,2000,"{'2023-2024': ['Primeira Liga', 'Serie A'], '2024-2025': ['Serie A']}"
Rafael Barbosa,POR,"MF,FW",Farense,1996,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Afonso Bastardo,POR,"FW,DF",Gil Vicente FC,2005,{'2023-2024': ['Primeira Liga']}
Gilberto Batista,GNB,DF,Moreirense,2003,{'2023-2024': ['Primeira Liga']}
Ricardo Batista,POR,GK,Casa Pia,1986,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Roko Baturina,CRO,FW,Gil Vicente FC,2000,{'2023-2024': ['Primeira Liga']}
Bachir Belloumi,ALG,"FW,MF",Farense,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Fahem Benaissa Yahia,FRA,MF,Casa Pia,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Beni,ANG,MF,Casa Pia,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Benny,POR,"MF,FW",Chaves,2000,{'2023-2024': ['Primeira Liga']}
Berna,ANG,"FW,DF",Boavista,2003,{'2023-2024': ['Primeira Liga']}
Emmanuel Boateng,GHA,FW,Rio Ave,1996,{'2023-2024': ['Primeira Liga']}
Kiko Bondoso,POR,"FW,MF",Vizela,1995,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Toni Borevkovic,CRO,DF,Vitória,1997,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Róbert Boženík,SVK,FW,Boavista,1999,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga'], 'EURO 2024': ['EURO 2024']}"
Bruno Brigido,BRA,GK,Estrela,1991,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Rafael Brito,POR,MF,Casa Pia,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,1993,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Leonel Bucca,ARG,"MF,FW",Estrela,1999,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
André Bukia,COD,"MF,FW",Arouca,1995,{'2023-2024': ['Primeira Liga']}
Fabijan Buntić,CRO,GK,Vizela,1997,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Europa League']}"
Aleksandar Busnić,SRB,"MF,FW",Vizela,1997,{'2023-2024': ['Primeira Liga']}
Oriol Busquets,ESP,MF,Arouca,1999,{'2023-2024': ['Primeira Liga']}
Rafael Bustamante,COL,MF,Vizela,1999,{'2023-2024': ['Primeira Liga']}
Adrián Butzke,ESP,FW,Vitória,1999,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Erick Cabaco,URU,DF,Estoril,1995,{'2023-2024': ['Primeira Liga']}
Jhonder Cádiz,VEN,FW,Famalicão,1995,"{'2023-2024': ['Primeira Liga'], 'CopaAmerica2024': ['CopaAmerica2024']}"
João Pedro Gomes Camacho,POR,"FW,MF",Moreirense,1994,{'2023-2024': ['Primeira Liga']}
Ibrahima Camará,GUI,"MF,DF",Boavista,1999,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Cambila,ANG,GK,Estrela,2002,{'2023-2024': ['Primeira Liga']}
Luan Campos,BRA,"FW,MF",Portimonense,2002,{'2023-2024': ['Primeira Liga']}
Felippe Cardoso,BRA,FW,Casa Pia,1998,{'2023-2024': ['Primeira Liga']}
Carlinhos,BRA,MF,Portimonense,1994,{'2023-2024': ['Primeira Liga']}
João Carlos,BRA,"FW,DF",Estoril,1995,{'2023-2024': ['Primeira Liga']}
Zé Carlos,POR,"MF,DF",Vitória,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Zé Carlos,POR,DF,Gil Vicente FC,1998,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Marcelo Carné,BRA,GK,Estoril,1990,{'2023-2024': ['Primeira Liga']}
Carraça,POR,"DF,MF",Chaves,1993,{'2023-2024': ['Primeira Liga']}
Ronie Carrillo,ECU,"FW,MF",Portimonense,1996,"{'2023-2024': ['Primeira Liga'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
António Filipe de Carvalho,POR,GK,Estrela,1985,{'2023-2024': ['Primeira Liga']}
Miguel Carvalho,POR,GK,Farense,1996,{'2023-2024': ['Primeira Liga']}
Facundo Cáseres,ARG,MF,Farense,2001,{'2023-2024': ['Primeira Liga']}
Midana Cassama,GNB,"FW,MF",Portimonense,2002,{'2023-2024': ['Primeira Liga']}
Cassiano,BRA,FW,Estoril,1989,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Jesús Castillo,PER,MF,Gil Vicente FC,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Cristian Castro,COL,DF,Rio Ave,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Tidjany Chabrol,FRA,"FW,MF",Gil Vicente FC,2002,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Charles,BRA,GK,Vitória,1994,{'2023-2024': ['Primeira Liga']}
Chiquinho,POR,"FW,MF",Famalicão,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Premier League', 'La Liga']}"
Clayton,BRA,FW,Casa Pia,1999,"{'2023-2024': ['Primeira Liga'], '2024': ['Brasil2024SerieA', 'Brasil2024'], '2024-2025': ['Primeira Liga']}"
Fábio Conceição,POR,"MF,FW",Rio Ave,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Leo Cordeiro,BRA,MF,Estrela,1995,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Jeriel Córdova,VEN,FW,Boavista,2002,{'2023-2024': ['Primeira Liga']}
Félix Correia,POR,FW,Gil Vicente FC,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
João Pedro Araújo Correia,CPV,"DF,MF",Chaves,1996,{'2023-2024': ['Primeira Liga']}
Alberto costa,POR,DF,Vitória,2003,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Gonçalo Costa,POR,"DF,MF",Portimonense,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Michel Costa,BRA,MF,Estoril,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Murilo Costa,BRA,FW,Gil Vicente FC,1994,{'2023-2024': ['Primeira Liga']}
Rui Costa,POR,"FW,MF",Farense,1996,{'2023-2024': ['Primeira Liga']}
Tomás Costa Silva,POR,DF,Vizela,1999,{'2023-2024': ['Primeira Liga']}
Costinha,POR,"MF,DF",Rio Ave,2000,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Europa League']}"
Sandro Cruz,ANG,"DF,MF",Chaves,2001,"{'2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Florian Danho Seke,FRA,FW,Famalicão,2000,{'2023-2024': ['Primeira Liga']}
Ignacio De Arruabarrena,URU,GK,Arouca,1997,{'2023-2024': ['Primeira Liga']}
